"COD_LOJA","plu","NOM_SECAO","NOM_CATEG","NOM_SUBCATEG","NOM_GRUPO","NOM_SUBGRUPO","NOM_PROD","FILL.P","N.DAYS","S.DAYS","N.TRANS","PROFIT"
2435,264051,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES SALGADOS","PAES SAUDAVEIS","PAO INTEGRAL FP",51.85,756,392,561,3280.12
2435,37839,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO  FLORESTA NEGRA FP GR",19.76,749,148,184,8254.43
2435,46503,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","TORTAS GELADAS","TORTA DE LIMAO FP",23.96,743,178,293,2505.44
2435,440837,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE FRANCESA FP KG",80.46,701,564,2565,11632.64
2435,3212035,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","DOCES GELADOS","BOLO DE COLHER FLORESTA NEGRA 100GR",3.53,255,9,11,54.89
2435,25812,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","DOCES GELADOS","QUINDIM F PROPRIA",21.39,748,160,400,2366.16
2435,125079,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","MINIBAGUETE RUSTICA KG",2.24,134,3,4,27.14
2435,3212110,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","DOCES GELADOS","BOLO DE COLHER PRESTIGIO 100GR",3.57,673,24,34,179.39
2435,128100,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO DE BRIGADEIRO SPLIT BELGA",38.83,752,292,367,20167.65
2435,244466,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","DOCES SECOS","BROINHA FUBA MINEIRA",94.31,756,713,2362,9433.33
2435,135184,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES SALGADOS","PAO DE BATATA","PAO DE BATATA C/REQUEIJAO FP",44.16,548,242,492,2218.36
2435,37341,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","DOCES GELADOS","PUDIM DE LEITE FP",51.86,754,391,636,5894.62
2435,38997,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOLO FRAPE FP KG",75.1,755,567,1099,8381.1
2435,52924,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOLO FORMIGUEIRO F PROPRIA",76.19,756,576,1174,8444.41
